sample	samples	MRPS16	primary disease or tissue	_primary_site
TCGA-G3-A7M7-01	TCGA-G3-A7M7-01	12.22	Liver Hepatocellular Carcinoma	Liver
TCGA-XR-A8TD-01	TCGA-XR-A8TD-01	12.22	Liver Hepatocellular Carcinoma	Liver
TCGA-BC-A3KF-01	TCGA-BC-A3KF-01	12.21	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AAE3-01	TCGA-DD-AAE3-01	12.21	Liver Hepatocellular Carcinoma	Liver
TCGA-EP-A3RK-01	TCGA-EP-A3RK-01	12.21	Liver Hepatocellular Carcinoma	Liver
TCGA-MI-A75I-01	TCGA-MI-A75I-01	12.21	Liver Hepatocellular Carcinoma	Liver
TCGA-2Y-A9GY-01	TCGA-2Y-A9GY-01	12.20	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A3A3-01	TCGA-DD-A3A3-01	12.19	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AACK-01	TCGA-DD-AACK-01	12.19	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-A5SI-01	TCGA-G3-A5SI-01	12.19	Liver Hepatocellular Carcinoma	Liver
TCGA-RC-A7SH-01	TCGA-RC-A7SH-01	12.19	Liver Hepatocellular Carcinoma	Liver
TCGA-BC-A10T-01	TCGA-BC-A10T-01	12.18	Liver Hepatocellular Carcinoma	Liver
TCGA-CC-A7IH-01	TCGA-CC-A7IH-01	12.18	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A11A-01	TCGA-DD-A11A-01	12.18	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A1EJ-01	TCGA-DD-A1EJ-01	12.18	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A3A8-11	TCGA-DD-A3A8-11	12.18	Liver Hepatocellular Carcinoma	Liver
TCGA-MI-A75C-01	TCGA-MI-A75C-01	12.18	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AAVR-01	TCGA-DD-AAVR-01	12.17	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-A3CJ-01	TCGA-G3-A3CJ-01	12.17	Liver Hepatocellular Carcinoma	Liver
TCGA-WX-AA47-01	TCGA-WX-AA47-01	12.17	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-AAUZ-01	TCGA-G3-AAUZ-01	12.16	Liver Hepatocellular Carcinoma	Liver
TCGA-CC-A7IL-01	TCGA-CC-A7IL-01	12.15	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A118-01	TCGA-DD-A118-01	12.15	Liver Hepatocellular Carcinoma	Liver
TCGA-ES-A2HT-01	TCGA-ES-A2HT-01	12.15	Liver Hepatocellular Carcinoma	Liver
TCGA-FV-A3R3-01	TCGA-FV-A3R3-01	12.15	Liver Hepatocellular Carcinoma	Liver
TCGA-ED-A66X-01	TCGA-ED-A66X-01	12.14	Liver Hepatocellular Carcinoma	Liver
TCGA-MR-A520-01	TCGA-MR-A520-01	12.14	Liver Hepatocellular Carcinoma	Liver
TCGA-CC-5263-01	TCGA-CC-5263-01	12.13	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A3A1-01	TCGA-DD-A3A1-01	12.13	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A3A1-11	TCGA-DD-A3A1-11	12.13	Liver Hepatocellular Carcinoma	Liver
TCGA-RC-A6M5-01	TCGA-RC-A6M5-01	12.13	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A1EI-01	TCGA-DD-A1EI-01	12.12	Liver Hepatocellular Carcinoma	Liver
GTEX-13N11-0926-SM-5IJG2	GTEX-13N11-0926-SM-5IJG2	12.11	Liver	Liver
TCGA-CC-A7IK-01	TCGA-CC-A7IK-01	12.11	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A3A2-01	TCGA-DD-A3A2-01	12.11	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AADV-01	TCGA-DD-AADV-01	12.11	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-AAV7-01	TCGA-G3-AAV7-01	12.11	Liver Hepatocellular Carcinoma	Liver
TCGA-ZP-A9CZ-01	TCGA-ZP-A9CZ-01	12.11	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AADF-01	TCGA-DD-AADF-01	12.10	Liver Hepatocellular Carcinoma	Liver
TCGA-WQ-AB4B-01	TCGA-WQ-AB4B-01	12.10	Liver Hepatocellular Carcinoma	Liver
TCGA-RC-A6M6-01	TCGA-RC-A6M6-01	12.09	Liver Hepatocellular Carcinoma	Liver
TCGA-MI-A75H-01	TCGA-MI-A75H-01	12.08	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AACF-01	TCGA-DD-AACF-01	12.07	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AACS-01	TCGA-DD-AACS-01	12.07	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AAEI-01	TCGA-DD-AAEI-01	12.06	Liver Hepatocellular Carcinoma	Liver
TCGA-CC-A3MA-01	TCGA-CC-A3MA-01	12.05	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A4NG-01	TCGA-DD-A4NG-01	12.05	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AADB-01	TCGA-DD-AADB-01	12.05	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AADR-01	TCGA-DD-AADR-01	12.05	Liver Hepatocellular Carcinoma	Liver
TCGA-EP-A3JL-01	TCGA-EP-A3JL-01	12.05	Liver Hepatocellular Carcinoma	Liver
TCGA-2Y-A9H8-01	TCGA-2Y-A9H8-01	12.04	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AA3A-01	TCGA-DD-AA3A-01	12.04	Liver Hepatocellular Carcinoma	Liver
TCGA-UB-A7MB-01	TCGA-UB-A7MB-01	12.04	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A4NN-01	TCGA-DD-A4NN-01	12.03	Liver Hepatocellular Carcinoma	Liver
